id,name,category,displayName,cim_action
124,DEACTIVATE_POLICY,Policy,Deactivate Policy,
125,ADD_POLICY,Policy,Add Policy,
126,MODIFY_POLICY,Policy,Modify Policy,
127,MODIFY_POLICY_PRIORITY,Policy,Modify Policy Priority,
128,DELETE_POLICY,Policy,Delete Policy,
131,APPLY_LABEL_TO_POLICY,Policy,Apply Label To Policy,
132,REMOVE_LABEL_FROM_POLICY,Policy,Remove Label From Policy,
133,MODIFY_COMPLIANCE_ACTION,Compliance Action,Modify Compliance Action,
134,MODIFY_COMPLIANCE_CHECK_PREFERENCES,Compliance Action,Modify Compliance Check Preferences,
135,ADD_COMPLIANCE_ACTION,Compliance Action,Add Compliance Action,
136,DELETE_COMPLIANCE_ACTION,Compliance Action,Delete Compliance Action,
137,ADD_APPSETTING,Configuration,Add Configuration,
138,MODIFY_APPSETTING,Configuration,Modify Configuration,
139,REMOVE_APPSETTING,Configuration,Remove Configuration,
140,APPLY_LABEL_TO_APPSETTING,Configuration,Apply Label To Configuration,
141,REMOVE_LABEL_FROM_APPSETTING,Configuration,Remove Label From Configuration,
142,ADD_DEP_ACCOUNT,DEP,Add DEP Account,
143,DELETE_DEP_ACCOUNT,DEP,Delete DEP Account,
144,MODIFY_DEP_ACCOUNT,DEP,Modify DEP Account,
145,ADD_DEP_ENROLLMENT_PROFILE,DEP,Add DEP Enrollment Profile,
146,MODIFY_DEP_ENROLLMENT_PROFILE,DEP,Modify DEP Enrollment Profile,modified
147,DELETE_DEP_ENROLLMENT_PROFILE,DEP,Delete DEP Enrollment Profile,deleted
148,CHECK_UPDATES_FOR_DEP_ACCOUNTS,DEP,Check Updates For DEP Accounts,
149,ASSIGN_DEVICES_TO_DEP_ENROLLMENT_PROFILE,DEP,Assign Devices To DEP Enrollment Profile,
150,ADD_DEVICE_SPACE,Admin,Add Space,created
151,UPDATE_DEVICE_SPACE,Admin,Update Device Space,modified
152,REMOVE_DEVICE_SPACE,Admin,Remove Space,deleted
153,MODIFY_DEVICE_SPACE,Admin,Modify Space,modified
154,CHANGE_DEVICE_SPACE_PRIORITIES,Admin,Change Space Priority,modified
155,ASSIGN_DEVICE_SPACE_ADMIN,Admin,Assign Space Admin,modified
156,DELETE_DEVICE_SPACE_ADMIN,Admin,Delete Space Admin,deleted
157,REMOVE_ADMIN_FROM_SPACE,Admin,Remove Admin From Space,deleted
